sorszam,n1,FNF
1107,Jámbor,7
1108,Járdek,0
1109,Járitz,0
1110,Jármay,0
1111,Járó,0
1112,Jászai,0
1113,Jászffy,0
1114,Jászfy,0
1115,Jécsy,0
1116,Jékly,0
1117,Jósa,0
1118,Jósvay,0
1119,Józan,0
1120,Józsa,6
1121,K,0
1122,K.,0
1123,Kabarcz,0
1124,Kabdebó,7
1125,Kacskovics,1
1126,Kacsur,0
1127,Kacsóh,0
1128,Kacziány,4
1129,Kada,0
1130,Kadenszki,0
1131,Kaiser,68
1132,Kajlinger,0
1133,Kallaus,0
1134,Kallós,0
1135,Kalmár,3
1136,Kamocsay,0
1137,Kamrás,0
1138,Kapcza,1
1139,Kapeller,1
1140,Kapy,0
1141,Karaffa,0
1142,Karalyos,0
1143,Karaszek,1
1144,Karczag,0
1145,Kardon,0
1146,Kardos,15
1147,Kares,0
1148,Karg,1
1149,Karkas,0
1150,Karlovitz,0
1151,Karner,6
1152,Karsay,0
1153,Karányi,0
1154,Karés,0
1155,Kasenczky,0
1156,Kaszper,0
1157,Kaszás,2
1158,Katinszky,0
1159,Katona,12
1160,Kattausch,3
1161,Katzer,7
1162,Kaufmann,196
1163,Kauser,0
1164,Kavanda,0
1165,Kazacsay,0
1166,Kazimir,9
1167,Kazinczy,0
1168,Kazár,0
1169,Kaál,0
1170,Kecskeméthy,0
1171,Kecskeméti,0
1172,Kecskés,10
1173,Keil,1
1174,Kelecsényi,0
1175,Kelemen,0
1176,Keleti,1
1177,Kellel*,0
1178,Keller,64
1179,Kellner,74
1180,Kelndorfer,0
1181,Kelner,14
1182,Kempelen,0
1183,Kemény,3
1184,Kende,0
1185,Kenesei,0
1186,Kerecsényi,0
1187,Keresztes,3
1188,Keresztury,0
1189,Keresztúri,0
1190,Kernács,0
1191,Kerstner,0
1192,Kertész,0
1193,Kerék,2
1194,Kerékgyártó,0
1195,Kerényi,0
1196,Keserű,1
1197,Keszler,19
1198,Kiliti,0
1199,Kilius,0
1200,Kimig,0
1201,Kinczly,0
1202,Kintzly,0
1203,Kirch,0
1204,Kirchknopf,3
1205,Kirchner,7
1206,Kiripolszky,0
1207,Kirner,5
1208,Kirtzan,0
1209,Király,5
1210,Kis,26
1211,Kis-Erős,0
1212,Kis-Szölgyémi,0
1213,Kiss,18
1214,Kisujfalusi,0
1215,Kiszela,2
1216,Kiticsán,0
1217,Kizdián,0
1218,Kiébert,0
1219,Klapper,0
1220,Klaudy,0
1221,Klausz,5
1222,Kleeberg,0
1223,Klein,2756
1224,Kleisz,0
1225,Klemens,0
1226,Klement,2
1227,Klemm,9
1228,Klenim,0
1229,Klenovits,0
1230,Kliburszky,0
1231,Kliczpera,0
1232,Klim,0
1233,Klimkó,1
1234,Klunzinger,0
1235,Klánik,2
1236,Klázer,0
1237,Kneisz,0
1238,Knoll,10
1239,Knotz,1
1240,Kobelrausch,9
1241,Kobler,0
1242,Kobor,1
1243,Koburger,0
1244,Koch,91
1245,Kocsis,13
1246,Kocsy,0
1247,Koffler,1
1248,Kohlert,0
1249,Kohlért,0
1250,Kohuth,0
1251,Kokesch,5
1252,Kolbányi,0
1253,Koller,24
1254,Kollmann,26
1255,Kollár,23
1256,Kolmann,9
1257,Kolompár,88
1258,Kolonics,1
1259,Kolonits,0
1260,Kolozsvári,0
1261,Kolpaszky,6
1262,Kolár,1
1263,Komjáti,0
1264,Komlódy,0
1265,Komlósi,0
1266,Komlóssy,0
1267,Komorovszky,0
1268,Komoróczy,0
1269,Komzsik,1
1270,Komáromi,1
1271,Komáromy,0
1272,Konecsni,7
1273,Kontsek,0
1274,Konyusik,0
1275,Kopcsányi,0
1276,Kopeczky,1
1277,Kopp,10
1278,Korb,10
1279,Koren,13
1280,Koritsánszky,0
1281,Korláth,0
1282,Kormonyák,0
1283,Kormoss,0
1284,Kornai,0
1285,Kornitzky,0
1286,Kornya,10
1287,Korona,0
1288,Koronthály,0
1289,Kortsák,1
1290,Korányi,1
1291,Korén,13
1292,Korény,5
1293,Koródy,0
1294,Koszorú,0
1295,Kosztolányi,0
1296,Kovaltsik,6
1297,Kovách,1
1298,Kovács,35
1299,Kovácsy,0
1300,Kováts,2
1301,Kozma,3
1302,Koznia,0
1303,Kozáky,0
1304,Kozáry,0
1305,Koós,0
1306,Kracker,0
1307,Krajcsics,0
1308,Kranitz,8
1309,Krazl,1
1310,Kreizler,5
1311,Kren,2
1312,Krepelka,3
1313,Krepuska,0
1314,Kreszula,0
1315,Kricsfalvi,0
1316,Kricsfalvy,0
1317,Kriegler,0
1318,Krisztinkovich,0
1319,Krompholcz,0
1320,Kroner,0
1321,Kronits,0
1322,Krupcsák,0
1323,Král,31
1324,Králik,6
1325,Králl,2
1326,Kránitz,8
1327,Krátky,9
1328,Kráuthl,0
1329,Krázl,1
1330,Krémer,16
1331,Krémmer,4
1332,Krénusz,0
1333,Krónits,0
1334,Kubinyi,0
1335,Kubinyák,0
1336,Kuchinka,1
1337,Kucsera,15
1338,Kuczkay,0
1339,Kugler,6
1340,Kuhar,8
1341,Kujarik,0
1342,Kulcsár,0
1343,Kuli,2
1344,Kulifay,0
1345,Kulik,15
1346,Kullmann,0
1347,Kun,8
1348,Kuna,10
1349,Kunszt,3
1350,Kurfürst,0
1351,Kurmann,0
1352,Kurtz,8
1353,Kurucz,3
1354,Kurzbacher,0
1355,Kustár,1
1356,Kusztos,1
1357,Kutassy,0
1358,Kutsera,5
1359,Kuzder,0
1360,Kuzmik,0
1361,Kuzsinszky,0
1362,Kvitskó,0
1363,Kácz,26
1364,Kádas,1
1365,Kájlinger,0
1366,Kákics,0
1367,Káldor,0
1368,Kálhok,0
1369,Kállai,0
1370,Kállay,0
1371,Kálmánczhelyi,0
1372,Kály,0
1373,Kánai,0
1374,Kántor,3
1375,Kárg,1
1376,Kárgli,0
1377,Kármán,1
1378,Károlyi,0
1379,Kárpáti,0
1380,Kégl,1
1381,Képiró,0
1382,Kéri,0
1383,Kési,0
1384,Késmárki,0
1385,Kíss,18
1386,Kóbor,1
1387,Kókai,0
1388,Kónya,0
1389,Kórody,0
1390,Kóródy,0
1391,Kóta,9
1392,Köberling,1
1393,Ködmencsi,0
1394,Kölber,0
1395,Köllő,0
1396,Kölüs,0
1397,Kömives,0
1398,Köncs,0
1399,König,71
1400,Könnye,0
1401,Könye,0
1402,Könyves,0
1403,Könyöki,0
1404,Körmendi,0
1405,Környei,0
1406,Körtvélyesi,0
1407,Körös,0
1408,Körösi,1
1409,Kötél,0
1410,Kövesi,0
1411,Kürschner,15
1412,Kürtös,0
1413,Kőhalmi,0
1414,Kőmives,0
1415,Kőműves,0
1416,Kőrösy,0
